Source,Target
1339923416720281600,1339921111048462337
1339923416720281600,1339921111048462337
1338830084812271616,1338829441112428544
1339873223442350080,1339553106284212224
1339873223442350080,1339553106284212224
1339658335746985985,1339655590138798081
1338840707172208643,1338838777616363520
1338881030581858306,1338881028908326914
1339813837835538433,1339812792849850373
1338886356420980739,1338872945989603330
1339797301422919680,1339740797705568257
1339797301422919680,1339740797705568257
1339395928130785280,1339381965972226049
1339310873815367680,1339310869776195584
1338575720340217857,1338553796583108608
1339908599703846912,1339905784466067456
1339908599703846912,1339905784466067456
1339278651674808322,1339247139126382592
1339278651674808322,1339247139126382592
1338643402699669504,1338570705491939335
1339491671680139265,1339491019038056448
1339491671680139265,1339491019038056448
1339531741451706369,1339530983763300354
1339531741451706369,1339530983763300354
1338644071003262976,1338536809731678209
1338712185183162368,1338649352042995713
1339394873300901888,1339304870038425603
1339394873300901888,1339304870038425603
1339481612443127808,1339481077170249730
1339738038046486530,1339684689032990722
1339921910163976192,1339736971892183040
1338521212255752196,1338361714631299073
1340010334212546564,1339965385467170819
1340010334212546564,1339965385467170819
1339509819644907521,1337247739009060865
1339560837707608064,1339553886609305602
1339560837707608064,1339553886609305602
1339965665462108160,1339963691849138178
1339965665462108160,1339963691849138178
1339984956840239105,1339972190998028290
1339819084242972679,1339817744695439360
1339426678460833795,1339425424976310273
1339416200347054081,1339389309481332736
1339040902921261057,1338875463452733441
1339278855366975493,1339222695238569985
1340111442650009601,1340096434624815105
1339969839465684992,1339805089112928256
1339969839465684992,1339805089112928256
1338162955418968065,1338161240284139520
1337923954699223040,1337760869036527616
1337927903565275136,1337917707421949952
1338203261581602817,1338191722237444096
1338307326915223552,1338196775564435459
1338524619171639299,1338516481185697792
1337642191653462016,1337633101904752640
1339661378303365121,1339536016575782913
1339439667532492802,1339330950854012929
1339519730655367168,1339519224579014656
1339653082695778306,1339219375686103040
1339656997084557320,1339643578566516737
1339378154041950208,1338973609818132483
1339756973915398144,1339752684145041408
1339961996150775808,1339961463872622595
1339975618457456641,1339963456330620928
1339975618457456641,1339963456330620928
1340017146852560898,1340002048222359557
1339429705896898560,1338700064303194113
1339354923012599812,1339343923043577860
1338604417063538689,1338164312179924992
1338681948663808000,1336787433569087490
1338740316384481280,1338728513784872962
1338933854267002881,1338913537184444416
1339002443116519424,1338944134137122824
1339353048213315584,1339352131187437580
1339245118428049409,1339186274280697858
1339285855291273217,1339270368981237761
1339316849306005504,1339254157354668042
1340048047607320576,1340001293801148416
1339979669387538432,1339978903302057987
1339979669387538432,1339978903302057987
1339802951179759616,1339773658299064320
1339805455808389121,1339787257868394497
1339818483794599936,1339812291013840897
1339857395481231362,1339620148622348293
1338684554345897984,1338683534433792001
1340017490374606848,1339512758447071232
1340017490374606848,1339512758447071232
1339777355347333120,1339013190659825666
1339977369738686464,1339928365906718725
1339989277162299393,1339973393685295106
1339990310886236163,1339977538546888705
1339968810384683008,1339132885375193090
1339938344168468483,1339920618280660993
1339924100236587014,1339923634908000256
1341668715864027137,1341668589791809541
1341668589791809541,1341666082419970048
1341666082419970048,1341527267164512261
1341272604036931585,1341241625348026368
1341185543766347778,1340866843607670785
1341185485935267840,1341133796117278730
1341155931002785792,1341133796117278730
1341123071705419777,1341046237215252482
1341046237215252482,1340924512041222144
1340926460173815809,1340894436281085953
1340894436281085953,1340761022462713856
1340866843607670785,1340852284519923712
1340852284519923712,1340693990916587520
1340740539260407808,1340667328699183106
1340693990916587520,1340536212038144000
1340682772545826816,1340533522696556546
1340630979707330560,1340630669660196864
1340630669660196864,1340520442336063489
1340536212038144000,1340504555830661123
1340533522696556546,1340529791766646785
1340529791766646785,1340506048076103681
1340523152464613376,1340520442336063489
1340075396994387968,1339923288072597506
1339942194342457347,1339923288072597506
1339932116151226371,1339923288072597506
1339925372666822659,1339923288072597506
1339721510991392774,1339612541169917952
1339720186165915654,1339718974351712256
1339718974351712256,1339612541169917952
1339700836809773057,1339700486404931585
1339700486404931585,1339612541169917952
1339627407532179457,1339612541169917952
1339619424500936704,1339616201006329856
1339616201006329856,1339613108868931584
1339613108868931584,1339612541169917952
1340013796677611523,1339859456906149889
1339917841940803585,1339853733870616576
1339869265118302208,1339859565886779392
1339869178644324357,1339859456906149889
1339859565886779392,1339858956966125568
1339859456906149889,1339858956966125568
1339859203599568896,1339856090259992576
1339857833840566274,1339856090259992576
1339856547967602690,1339856090259992576
1339856090259992576,1339853733870616576
1339590841560489987,1339513242608148482
1339590826343636993,1339513242608148482
1339515437101576193,1339513242608148482
1340294170175528963,1339972557433389059
1340129317204996097,1339968834585944069
1340128945182793729,1339964337696485376
1339999538413629440,1339929153190187009
1339987906044182529,1339980205331423232
1339980205331423232,1339960946534432771
1339980044542697474,1339921111048462337
1339973411016216580,1339972151856795648
1339972639817949190,1339922042687262722
1339972557433389059,1339922427749523459
1339972407512227843,1339921647827087363
1339972222551789570,1339925230794534918
1339972151856795648,1339920619165642752
1339971967999422464,1339923194501730309
1339971879331901441,1339923194501730309
1339971690953134081,1339926645768151045
1339971449155674115,1339923194501730309
1339969465849671688,1339923416720281600
1339966976865804288,1339923416720281600
1339941042431401985,1339924811707912192
1339927631257604097,1339922427749523459
1339926645768151045,1339924742581698561
1339926303655510018,1339924742581698561
1339924811707912192,1339923404502282241
1339924742581698561,1339923416720281600
1339923416720281600,1339921111048462337
1339923416720281600,1339921111048462337
1339923404502282241,1339922042687262722
1339922042687262722,1339921823459360769
1339921823459360769,1339921574489710592
1339921574489710592,1339921111048462337
1339968509263007744,1339966868325588994
1339966868325588994,1339962733207277570
1339966646732001282,1339964176941293575
1339964176941293575,1339961815548141569
1339962733207277570,1339962386900529159
1339962386900529159,1339961815548141569
1339583936616308742,1339581498383482884
1339551455209009152,1339444912408944647
1339225715426930689,1338829441112428544
1340653382592303104,1339897785290809345
1339984328672112645,1339983144817180673
1339983437403463683,1339982896220819465
1339983144817180673,1339982896220819465
1339887704948035584,1339873223442350080
1339873223442350080,1339553106284212224
1339873223442350080,1339553106284212224
1339565034452766727,1339563417049440257
1339563417049440257,1339558608263102464
1339558608263102464,1339553106284212224
1340705717871915008,1340705560568754178
1340481336428081152,1340480228355833857
1340236223210647553,1340233478646820864
1340177454208565248,1340110830038261760
1340848913662812163,1340436809839484935
1340800793310617600,1340800493770199044
