Source,Target,weight
SputnikInt,SputnikInt,41
keryn_1,carnivalist2,28
carnivalist2,carnivalist2,27
carnivalist2,keryn_1,17
TheHiddenJewell,TheHiddenJewell,16
Barbie09284086,Barbie09284086,15
larabond1,RandyGarrett123,13
LoganYenser1,carchapit,12
AnGobanSaor,AnGobanSaor,11
Rosewind2007,Rosewind2007,11
AndRetort,AndRetort,11
DouglasSloane,angelo_bottone,11
maxthelionx,TraceyLockstep,10
velocityblade,EntheosTuition,10
marmorkreb1,KentTiger61,10
tabbyday,tabbyday,10
QueenofStars13,QueenofStars13,10
angelo_bottone,DouglasSloane,10
TruthBegetsLife,TruthBegetsLife,9
JohnTrumpfam7,Audie_Murphy45,9
WAPFLondon,Rosewind2007,9
OliviaP28146643,OliviaP28146643,9
steber232,terrylake2603,8
bunny32746,Geziandme,8
szn_reg,WakkerW,8
terrylake2603,steber232,8
AnGobanSaor,angelo_bottone,8
Audie_Murphy45,JohnTrumpfam7,8
CovidSerology,CovidSerology,8
KentTiger61,marmorkreb1,8
carchapit,LoganYenser1,7
MlLLlONARIA,rinareligion,7
AalonaMichaels,JosephJFlynn1,7
SunshineTheGrey,SunshineTheGrey,7
QuinntisG,JPESportsMiner,7
meandtheother3,meandtheother3,7
WakkerW,szn_reg,7
WPCreations1,WPCreations1,6
regularperson12,LetItBeKnown88,6
FreedomSpartan,2k20Bryant,6
RomaAntiquaUnus,RomaAntiquaUnus,6
angelo_bottone,AnGobanSaor,6
Geziandme,bunny32746,6
cultivatediq,CCDHate,6
JPESportsMiner,QuinntisG,6
davethewoodsman,keryn_1,5
InterBang,InterBang,5
Rosewind2007,WAPFLondon,5
ObamaIsPres,MARS0411,5
MARS0411,ObamaIsPres,5
Artsie_ladie,Artsie_ladie,5
tabbyday,NatGeoMag,5
r_kerr,r_kerr,5
Pilgrim58192938,CovidSerology,5
EntheosTuition,velocityblade,5
LetItBeKnown88,regularperson12,5
lmnysf,realDonaldTrump,5
forsakebook,LilburnLA,5
aspiesmom,AndrewYang,5
hemitruck1234,lespauljunior3,5
keryn_1,davethewoodsman,5
BrianGPowell,CathyCathyFox,5
IvanaMariaB,IvanaMariaB,5
tabbyday,DailyCaller,5
kevinallin,2k20Bryant,5
deNutrients,deNutrients,4
dude_obama,SSchrock2461,4
Rosewind2007,HelenEBedford,4
honest_truth4u,Flailing_Dad,4
NovaXCulphy,vifrevaert,4
CrikeyReally,Geziandme,4
WakkerW,WakkerW,4
Soviet_Defector,rrbauer,4
Rosewind2007,jonathanstea,4
LeliuSwann,AGuyFromCA1,4
TrustJesusAlone,Cynthia88322059,4
KelseyR30329626,KelseyR30329626,4
DanDs435,BusyDrT,4
rinareligion,MlLLlONARIA,4
Human85894078,KannaKa09523184,4
Nikittah_04,realDonaldTrump,4
OliviaP28146643,JSDH_S,4
Flailing_Dad,honest_truth4u,4
CaraMastrey,CaraMastrey,4
Kellyk84471553,CathyCathyFox,4
2k20Bryant,FreedomSpartan,4
davethewoodsman,davethewoodsman,4
larabond1,nbd2389,4
larabond1,TorC26,4
WAPFLondon,WAPFLondon,4
reeta_iceburg,IvanaMariaB,4
AnGobanSaor,KezaShea,4
simplyawakened,simplyawakened,3
maxthelionx,jwoodz56,3
MlLLlONARIA,UNGODLYMONA,3
maxthelionx,frank_gratton,3
Seven77Ryn,Seven77Ryn,3
JanetFl62837788,realDonaldTrump,3
Janemecom,Morning03761432,3
masuruha2,ContessaRenata,3
IamGrief,KKoalenz,3
conservusa1980s,realDonaldTrump,3
tonebone721,tonebone721,3
TranNghia6789,realDonaldTrump,3
Trombon41618730,GoldenRuleEduc,3
Nmenon777,DrDanilychevMD,3
Cmd7575,shifty_day,3
vifrevaert,NovaXCulphy,3
RobAdam74497148,RobAdam74497148,3
HillLisaK,WhatSayMe_USA,3
maxthelionx,sarfsee,3
PatriotCzar,FruitThugg,3
HelenEBedford,Rosewind2007,3
banned_non,banned_non,3
NghiaTr64134341,realDonaldTrump,3
IN144ITY,1972patriot,3
LeoCast999,maxthelionx,3
LightVision777,jaine_ross,3
Room101SmithWin,youknow1188,3
brothrstrawbrry,mgups2002,3
NeilFlochMD,NeilFlochMD,3
Bluesheepdog55,MariaFrancisci,3
TorC26,larabond1,3
swampfireian141,RiskCap,3
Koreanfalsechar,GonzalezRyu,3
Andrea_Bacciu,RobbieVdg,3
MissAriannaNoel,realDonaldTrump,3
OliviaP28146643,SpunkyStrings,3
larabond1,realPitBullDog,3
DrDanilychevMD,sandynigeluca,3
InfoMatrice,DrMadej,3
humdy8899,realDonaldTrump,3
jp_dutch,JustinSandefur,3
SunshineTheGrey,saltatv1,3
PetersSharlena,realDonaldTrump,3
shifty_day,Cmd7575,3
CalifDeplorable,CalifDeplorable,3
kacy_groves007,nativechic73,3
2k20Bryant,kevinallin,3
TeddlesDisFixie,TeddlesDisFixie,3
Geziandme,billsretpal,3
SyFyGy1,InfinateWisdom,3
VeryNiagara,VeryNiagara,3
rrbauer,Soviet_Defector,3
theef4guette,MlLLlONARIA,3
maga_cdr,richardursomd,3
diversity4trum1,realDonaldTrump,3
1972patriot,IN144ITY,3
MRomaniec,MRomaniec,3
JBuch57,CarolePatty,3
TankGothic,DrDanilychevMD,3
IvanaMariaB,herinacius0,3
MagaWithTrump20,realDonaldTrump,3
justagu71135181,Chesschick01,3
Catharine_L,Catharine_L,3
DCPOSTNEWS,DCPOSTNEWS,3
CathyCathyFox,Kellyk84471553,3
PintoBlades,Starrla1979,3
ann_lannin,CCDHate,3
PinkCaddy3,realDonaldTrump,3
TheHiddenJewell,LittleNelleChan,3
CorrNotCausa,CorrNotCausa,3
USAFreedom13,KimonaQ,3
EntheosTuition,EntheosTuition,3
AGuyFromCA1,LeliuSwann,3
lespauljunior3,hemitruck1234,3
AFS_Fertilizer,DrLimeback,3
realiwasframed,WakkerW,3
GonzalezRyu,Koreanfalsechar,3
GoldenRuleEduc,GoldenRuleEduc,3
tabbyday,SputnikInt,3
JUANITA85066138,realDonaldTrump,3
alanshore,angelo_bottone,3
KannaKa09523184,Human85894078,3
WakkerW,realiwasframed,3
LeenaCollins11,RealCandaceO,2
IdleBoast,Hoglitosis,2
melitha_russell,Trek_Girl_,2
jwoodz56,maxthelionx,2
WhereDidUSAGo2,realDonaldTrump,2
placepermanent,holdenRYcatcher,2
IvanaMariaB,Neacht,2
RozeRage,JFTB3,2
IdleBoast,IdleBoast,2
CovidSerology,AncapMayor,2
WakkerW,WLD01,2
Rome42885338,DrMadej,2
CovidSerology,Pilgrim58192938,2
forshumsangt,reeta_iceburg,2
IdleBoast,lovethebacchus,2
Saltimark,marklevinshow,2
IvanaMariaB,Normal103270532,2
Exposkydiveua,realDonaldTrump,2
tabbyday,ZubyMusic,2
RolundDad,GeoRebekah,2
ArcaneKnowledge,maxthelionx,2
Idontthinksokid,simondolan,2
fiski70,goodwithneedles,2
CovidSerology,stevebrown2856,2
RuthAnnHarpur,jonathanstea,2
LeahMcGrathRD,LeahMcGrathRD,2
BARBARA02048143,DrMadej,2
Rosewind2007,MelMcCurtis,2
McRePete,ChrisWickNews,2
Avinash_Yadava,Scimitar_SS,2
CryptoBull2020,Lisatweets444,2
frank_gratton,maxthelionx,2
flochman,NeilFlochMD,2
WAPFLondon,badzoot7,2
francisdon2,Hasampouli,2
B33Mello,ZubyMusic,2
InterBang,sallyKP,2
Rosewind2007,andyco98,2
Meatlegs1,keryn_1,2
OrDSLRge5kQH51V,realDonaldTrump,2
VerseCannon,CNBCtech,2
Artsie_ladie,Phillip70932970,2
IanStockport,IanStockport,2
billsretpal,Geziandme,2
