Source,Target,weight
FloBo2018,FloBo2018,"@realDonaldTrump For what? You are immune.

How about the vaccine discussions that need to happen?

Why hasn't #CDCWhistleblower been subpoenaed to testify?

Why aren't manufacturers liable for injury/death?

Why aren't there Federal protections for vax refusal? Mandates = forced injection."
Andrea_Bacciu,Andrea_Bacciu,@RobbieVdg @Quicktake #novax #covid19 please stop being stupid watching movies with conspiracies and start studying science.
Andrea_Bacciu,Andrea_Bacciu,@RobbieVdg @Quicktake #novax #covid19 please stop being stupid watching movies with conspiracies and start studying science.
SunshineTheGrey,SunshineTheGrey,@KETV I beg to differ.  #Idonotconsent #VAXXED I call these people #illogical #hypochondriacs... Scared of the #media #BigPharma #Advertising master-manipulators &amp; their #lying #government #overlords / Its #idiocracy ... All we are missing is the #BRONDO #mam https://t.co/rSATfah5KL
EmilyWheelhous1,EmilyWheelhous1,"@TheRealJoeFrom1 Err yes they can, and they will!!
They’re inserting these chips into us and connecting them to the 5G so that they can track and monitor our brains waves, to control and manipulate the masses!
Proud to not take the vaccine, do some research #AntiVax #CovidVaccine #MAGA #microchip"
EmilyWheelhous1,EmilyWheelhous1,"@TheRealJoeFrom1 Err yes they can, and they will!!
They’re inserting these chips into us and connecting them to the 5G so that they can track and monitor our brains waves, to control and manipulate the masses!
Proud to not take the vaccine, do some research #AntiVax #CovidVaccine #MAGA #microchip"
tabbyday,tabbyday,"@ClarksvilleAnon @TeamTrump @Mike_Pence I feel you, I know the battle well. 13 years for me since my daughter was injured, I had nurses &amp; dr's laugh, so condescending, one kicked us out of their practice. But we won't stop  

#vaccineinjury"
RyanSmi82971580,RyanSmi82971580,"@sheepskindee @AndyInLondon1 @Nigel_Farage I even see you are #NoVax...
What have I missed out on?
Are vaccines perhaps a scheme to inject mercury into our veins and transform us into robots remote controlled by Bill Gates via the 5G network? Please explain...
I am curious to hear about it..."
banned_non,banned_non,"@RachelNotley So, why are the streets not full of dead people?
Oh wait, that's next week when the suicides start and the once prosperous middle class are freezing to death on the streets. Unless they get #VAXXED .

#FearPorn peddler .
#hcQisTheCure 
#GreatBarringtonDeclaration https://t.co/byErHQegrA"
Killing87152220,Killing87152220,"This program is a “no-fault” program, meaning the vaccine manufacturer (pharmaceutical company) nor the government will be held liable for the #vaccineinjury. It’s is similar to the National Childhood Vaccine Injury Act created by the United States in 1986,"
RomaAntiquaUnus,RomaAntiquaUnus,"𝑹𝑶𝑴𝑨 𝑨𝑵𝑻𝑰𝑸𝑼𝑨 𝑼𝑵𝑼𝑺 ⚖️ 𝑽𝑬𝑹𝑰𝑻𝑨𝑺 ~ 𝑨𝑬𝑸𝑼𝑰𝑻𝑨𝑺

#RomaAntiquaUnus #VeritasAequitas #StopTheVax 

What could [they] have on DeNiro to get him to remove #VAXXED when his son suffers from #Autism ? 🤔 https://t.co/YzCHTGtNjl"
RomaAntiquaUnus,RomaAntiquaUnus,"𝑹𝑶𝑴𝑨 𝑨𝑵𝑻𝑰𝑸𝑼𝑨 𝑼𝑵𝑼𝑺 ⚖️ 𝑽𝑬𝑹𝑰𝑻𝑨𝑺 ~ 𝑨𝑬𝑸𝑼𝑰𝑻𝑨𝑺

#RomaAntiquaUnus #VeritasAequitas #StopTheVax 

Now why would Robert remove #VAXXED when his son suffers? 🤔 https://t.co/Z269SM4Ben"
luckykelsey,luckykelsey,"@RealCandaceO Can we give a shout out to all the parents of vax injured kids who have gotten laughed at, discriminated against, kicked out of Drs offices &amp; school for sharing their stories &amp; trying to help their children by not allowing them to be poisoned AGAIN. #Educateb4Vax #CDCFraud"
tabbyday,tabbyday,"@TeamTrump @ClarksvilleAnon @Mike_Pence It hasn't been proven to be safe or effective, @Mike_Pence probably received a b12 shot

TN Nurse faints after receiving the COVID vaccine 
#VaccineInjury
https://t.co/GDd8T7Ndmq"
Liz63186604,Liz63186604,"@richardursomd Did she just get the vaccine?  I'm a nurse, and no way in heck I'd take some vaccine that's made in 6 months!   It takes years to get a vaccine right. Ppl are gonna die, and they'll say it was covid.  #antivax , #no2serpentbite"
Liz63186604,Liz63186604,"@richardursomd Did she just get the vaccine?  I'm a nurse, and no way in heck I'd take some vaccine that's made in 6 months!   It takes years to get a vaccine right. Ppl are gonna die, and they'll say it was covid.  #antivax , #no2serpentbite"
Artsie_ladie,Artsie_ladie,"The @CDCgov is planning on a #Covid #VaccineInjury #epidemic! 1000s of 'doctors &amp; nurses' r questioning &amp; wanting to #OptOut of having the #vaccine. What does THIS tell us?
(Ignore Twitter warning of #Bitchute links.)
https://t.co/zWsFmZDhwV"
KelseyR30329626,KelseyR30329626,"Seems a bit odd to have “at home” syringes for this “deadly” disease we’ve shut the world down for! 🙄 #NoVax #CovidHoax Just sayin 🤷🏼‍♀️
3/3 https://t.co/59lci91jQM"
SanctitySKR1111,SanctitySKR1111,"@Whirlwind1111 The ""news"" is already reporting that there have been injuries and deaths from the vaccine already. And the FDA and AMA rescinded previous info that the vaccine was not harmful.... lots of info and  misinfo.... spiritual discernment definitely needed. #NOVAX for me no matter what."
SanctitySKR1111,SanctitySKR1111,"@Whirlwind1111 The ""news"" is already reporting that there have been injuries and deaths from the vaccine already. And the FDA and AMA rescinded previous info that the vaccine was not harmful.... lots of info and  misinfo.... spiritual discernment definitely needed. #NOVAX for me no matter what."
Qanon_Australia,Qanon_Australia,"@Trumpsta17 I’ve thought about this &amp; asked myself would I have wished this year never happened?

Fuck NO! 

I’m glad I am a part of a small group, who are the fighters, the critical thinkers, the lovers, believers &amp; truthers
👊
#NoMask 
#NoVax"
RobAdam74497148,RobAdam74497148,"@brianlilley @angusreidorg I think they only want to get #VAXXED due to lockdown. if we weren't locked down, no one would take this thing frankenvaxx from hell."
tonebone721,tonebone721,@DogePatriot2 @benshapiro #NoVax for me I’ll donate my dose to a leftie #enjoy
doak_lyn,doak_lyn,"@Preciouslindy @kernaghanscott5 @NIH @NIHDirector @BillGates @gatesfoundation @pfizer @moderna_tx I read Gates is in on 6 vaccines and Gates foundation has given billions to all for development
#NOVax"
OliviaP28146643,OliviaP28146643,"@epigwhisp @FritsCordoba Owwwwww we need this everywhere.....🙏
Seen the #novax trucks in LA?
Its going fast now, too much good news flushes the world🥰😝
#GreatAwakeningWorldwide #ResetReset #notest #novax #PCRgate #NarcSurvivor #DYOR #Freedom #DoYourPart https://t.co/tLzgt7XDqb"
OliviaP28146643,OliviaP28146643,"@epigwhisp @FritsCordoba Owwwwww we need this everywhere.....🙏
Seen the #novax trucks in LA?
Its going fast now, too much good news flushes the world🥰😝
#GreatAwakeningWorldwide #ResetReset #notest #novax #PCRgate #NarcSurvivor #DYOR #Freedom #DoYourPart https://t.co/tLzgt7XDqb"
OliviaP28146643,OliviaP28146643,"@JSDH_S @k_klo224743370 Please react on all my points please.....
#notest #novax"
OliviaP28146643,OliviaP28146643,"@JSDH_S @k_klo224743370 Please react on all my points please.....
#notest #novax"
QueenofStars13,QueenofStars13,@realDonaldTrump @California4T What? I'm no Ginny Pig for Gate's. #HCQ Cures and there is no longer a needto be #VaXxed against CovID.
OliviaP28146643,OliviaP28146643,"@SpunkyStrings Ooooh I've got some places I can drop this!!!!!😁😁😁😁😁🤣🥰
#retractionpaper #PCRgate #notest #novax"
OliviaP28146643,OliviaP28146643,"@SpunkyStrings Ooooh I've got some places I can drop this!!!!!😁😁😁😁😁🤣🥰
#retractionpaper #PCRgate #notest #novax"
banned_non,banned_non,"@AHS_media @jkenney They increased the lockdown conditions so they can force you to take their poisonous vaccine.
They figure you will accept being poisoned in order to gain you lives and freedom back. 
#vaxxed @RachelNotley 
#OpenABNOW #VaccinesArePoisons.
Next, you won't be allowed back to work!💣"
IvanaMariaB,IvanaMariaB,"@Neacht Lost public trust.

Next up: #vaccineINJURY"
IvanaMariaB,IvanaMariaB,"@Neacht Lost public trust.

Next up: #vaccineINJURY"
TruthBegetsLife,TruthBegetsLife,@DrMadej All of these people who know the truth are waiting for you and I to take this #VaccineInjury filled nonsense first before they do. No thank you. I’ll pass. #Sheeple
TruthBegetsLife,TruthBegetsLife,@DrMadej All of these people who know the truth are waiting for you and I to take this #VaccineInjury filled nonsense first before they do. No thank you. I’ll pass. #Sheeple
banned_non,banned_non,"@RachelNotley They increased the lockdown conditions so they can force you to take their poisonous vaccine.
They figure you will accept being poisoned in order to gain you lives and freedom back. 
#vaxxed @RachelNotley 
#OpenABNOW #VaccinesArePoisons.
Next, you won't be allowed back to work!💣"
EleutheriaAll,EleutheriaAll,"@GavinNewsom Oh you and Trump can stuff your warped vaccine. Vaccines are not required when 99-100% recover. #ZelenkoProtocol works.
Vitamins and minerals work.
#vaxxed"
TheHiddenJewell,TheHiddenJewell,@CNBCtech Like truth about #VaccineInjury?
TheHiddenJewell,TheHiddenJewell,@CNBCtech Like truth about #VaccineInjury?
IvanaMariaB,IvanaMariaB,"@simondolan 😂😂😂

William Shakepeare!

Hancock having a little laugh.

Any real guinea pigs going for this? Watch this space #vaccineINJURY"
othersideam,othersideam,@RussellOkung I could name numerous books and videos that have been removed. Doesn’t need to 1984 - check the 5 star rated documentary #vaxxed about CDC whistleblower #drwilliamthompson - it’s gone...
CaraMastrey,CaraMastrey,"@RICISAPAT @Rparkerscience Go ahead get #Vaxxed 
#MyBodMyBiz 
Don't touch my junk with that needle in your hand. 
RAPE~!"
MRomaniec,MRomaniec,@CryptoBull2020 Can we now openly discuss #vaccineinjury and the fact manufacturers have no liability?
MariaRivera_OC,MariaRivera_OC,"@flyLAXairport @GavinNewsom @FAANews @FedEx @TSA @lapublichealth @MayorOfLA @CDCgov @LAFD @ACIWorld #NoVaccineForMe 
Instead of preying upon the poor minority of CA (Black, Brown, Native), ALL the #VaxxCult People who push and profit from vaccines should take the #DarkWinter poison jab FIRST! @LAPDHQ @911LAPD @LASDHQ @OCSheriff #VaxXed #ArrestBillGates @CNN https://t.co/pSLkxLNFpm"
AnahataWhiteHat,AnahataWhiteHat,"@realDonaldTrump President Trump, we love ❤️ you and I know you would never 👎🏻 hurt anyone. I just pray 🙏🏻 those vaccines 💉 are not like all the rest that cause cancer, autism, paralysis, delayed development, seizures, and death ☠️.... #bigpharmakills #Vaxxed"
