Name,verified,location,created_at,description,followers_count,following_count,tweet_count
thereal_truther,False,California,2015-11-29T21:35:35.000Z,"Exposing the lies, propaganda & hate of the anti-science movement",7014,5484,120569
FloBo2018,False,,2018-01-28T07:03:02.000Z,"Parler: @FloBo
Also @therealFloBo1

#1A #2A #IDoNotConsent #TakeBackNY #Liberty #TeamParentsNY #DoTheStudy #Awakening #BeBrave #TheForgotten26K",3026,4555,26805
and_kell,False,,2009-05-06T18:25:00.000Z,Find me on Parler @andkell,4477,1812,82057
PupBellus,False,"Manchester, England",2011-10-11T02:42:16.000Z,"Rubber Pup, Dom, Ferral, Playful, Happy, Naughty!",2321,350,848
MrCrazee,False,"Plymouth, Devon",2009-01-26T22:16:00.000Z,"Independent Parliamentary Candidate for Plymouth Sutton & Devonport 2017. Social Entrepreneur and lawyer, Brexit supporter to ensure we live in a Democracy.",2269,2653,11063
Andrea_Bacciu,False,Italy,2015-09-13T09:01:14.000Z,"Hi, I'm Andrea Bacciu a Software engineer and Computer Science student at the Sapienza University of Rome.

Google DSC Lead @ Google Developers",66,123,18
jasiel11111,False,Everywhere,2020-04-02T03:53:46.000Z,🇺🇸Fighting A Spiritual Battle 🌎🇺🇸#endhumantrafficking #naturalcures HERE TO #wakeupamerica MESSAGES IN #dreams 💫🙏#Godwins #EPHESIANS6,4150,4041,7858
SunshineTheGrey,False,"Nebraska, USA,",2009-05-23T02:16:48.000Z,SHOW ME WHAT YOU GOT!   ☀️🌖✨,3541,618,237998
Hasampouli,False,Pellotopos,2012-01-28T22:42:58.000Z,"Don't trust atoms. They make up everything.

share/fav ≠ like",2404,3314,21817
Nypatriot1978,False,The abyss ,2020-08-16T01:41:11.000Z,EXPOSING THE OCCULT AND PEDOS  https://t.co/kpksbnmrZW  CHECK OUT MY PODCAST! #nwo #deepstate #occult #patriot #kag2020 #savethechildren,5403,5603,8711
EmilyWheelhous1,False,,2019-06-25T06:21:41.000Z,"Fifty Four Years Young Mother Of Three Happily Married To My Best Man For Twenty Six Of Them Regards, Emily",5,17,91
TheNWOisHERENOW,False,inside your phone,2020-03-14T19:46:37.000Z,TRUST NONE BUT GOD 🙏🏾✞🙏🏾1 Peter 5:8 👀,1308,57,58650
tabbyday,False,USA,2009-06-03T18:50:25.000Z,Vaccine injury is real 💉 We are angry and tired but we are #NotGoingAway,2048,2043,27431
RyanSmi82971580,False,"Glasgow, Scotland",2020-06-07T16:10:06.000Z,Bollocks to Brexit!,105,201,2492
banned_non,False,3rd Rock from the sun,2020-05-10T13:25:11.000Z,"rational realist
Where are we in the book of Revelation?
Imo, Chapter 12: V 8-ish.
WWJD=What Would Jesus Do?
He tossed some tables. So I'm gonna too.",76,97,4834
drgabx,False,"Albuquerque, New Mexico",2018-05-10T06:51:43.000Z,"Infectious diseases pharmacist clinician at University of NM Hospitals • Orgullosamente 🇪🇨 • I like bacteria, fungi, some viruses (not COVID) and beaches.",175,200,218
Killing87152220,False,,2020-04-13T07:57:01.000Z,"President-Elect for the United States of Freedom, First ever female president who is both smart as well as beautiful. Shills & ex-CIA agents will be killed.",258,417,5277
MerrilyMerrily5,False,,2020-10-29T19:15:43.000Z,🔬 🧬 🧫 🦠 📈🧑🏻‍🔬 I like bugs. Denying Science is advertising your ignorance. Loyal to no party.,101,306,4134
PushpaShivaram,False,"Augusta, GA",2018-08-01T18:58:50.000Z,"Associate Program Director, Congenital Cardiologist #CHD, Imager #echofirst #whycmr Assistant Professor @MCG_AUG #Pedscards #cardiotwitter Savage and Fun",3930,1254,10459
DanVanRN,False,"Wisconsin, USA",2017-01-25T02:55:27.000Z,"Advocate, Nurse, Dad, Gamer, Blacksmith.
My opinions are my own and not my employer's.  He/Him.  

I run a perfectly ridiculous youtube channel.

🇺🇲 ⚒ ⚔ 🩺 🔬",228,321,2040
ChadaChanel,False,,2009-05-15T15:37:05.000Z,A nation can rise no higher than it’s woman. #Farrakhan #TwitterArmy https://t.co/LYeaMEKH2m,276,721,1014
RomaAntiquaUnus,False,All Around the World,2020-12-05T10:13:28.000Z,"Personal honor and truth in actions and justice, regardless of the circumstances, 
to deal out justice, the facts of the situation must be known #DigitalSoldier",279,1426,714
luckykelsey,False,,2011-03-09T02:50:20.000Z,Pro Vaccine Safety. Pro Environmental Safety. Pro Food Safety. Pro Medical Choice/Freedom. Pro Childrens Rights. Pro Parental Rights. Pro Scientific Integrity.,2396,1126,124204
Adamsof60,False,LOUISIANA,2015-09-22T11:43:09.000Z,"Wife, Mother, Grandmother,God's Word is my Guide. Dislike: Greed & Corruption. Awaiting the day Hillary Clinton is locked up! United We Stand!",127,442,2502
EOTStormPodcast,False,United Kingdom,2020-04-23T14:06:37.000Z,Eyez Of The Storm is a brand new podcast where we talk about what’s really happening in the world. WWG1WGA,1137,517,3543
Liz63186604,False,,2020-10-31T03:47:56.000Z,"NP, holistic medicine.",1,28,85
wezlangdon,False,South Wales,2013-11-13T11:54:01.000Z,"Capitalism is a disease, U know the treatment Socialism Sosialaeth Socialisme اشتراكية समाजवाद  'ਸਮਾਜਵਾਦ' Ujamaa социализм https://t.co/BABVomtOjD",6159,5729,115345
Jesslooknaround,False,,2014-05-01T09:40:16.000Z,"Nurse, Mother, Person, Voter, Reader. Loves charcuterie boards and French 75’s. BLM. RBG. She/her. Ally. I also like dog videos.",60,207,729
Artsie_ladie,False,United States of America!,2008-07-26T20:48:47.000Z,Love God-Mom-Daughter-creativity-animals! #Artist #Writer #Poet #Quoet - #Artsieladie Website: http://t.co/mer3cYWP9u - #Facebook: https://t.co/OvSCZUbJkZ,1020,1397,15736
CoffeeHouseJay1,False,,2020-12-05T22:28:35.000Z,"🌊🌊🌊Democrat to the core! 🌊🌊🌊 I will always help the less fortunate and call out the wicked. Lost my first account, but I'm back for more! ✌️",1623,2040,384
hash2hash,False,"Texas, USA",2010-05-20T18:29:11.000Z,"Virtual Care Leader, family man, tinkerer, balancer of technology vs old school, poop doc. Opinions are my own and not the views of my employer",66,157,149
SuicideSeattle,False,Seattle,2013-12-11T19:56:10.000Z,,3789,1701,62723
TruthBegetsLife,False,USA ,2012-12-06T15:29:36.000Z,"There is only One truth, One way friends, Pro Life, Jesus is King, God Always Wins, Bible Doctrine Believer: John 3:16 _ Mathew 11:1 #Doctrine",5380,5693,22328
Conservataria18,False,,2020-11-26T20:24:23.000Z,God. Individual freedom and liberty. We will never forget the foundations on which this nation was built upon.,12,131,188
Scimitar_SS,False,Poona,2010-06-19T20:34:38.000Z,"Winter is upon us. Unless we #DestroyTheAadhaar & #BanDigitalElections, this night is going to be dark & full of terrors.",1246,921,77029
MarDBallJr,False,"California, USA",2017-11-28T23:48:05.000Z,"God, family, friends, patriotism. Always striving for self improvement. John 3:16; Luke 10:27; Matthew 10:16; John 15:18; Luke 22:36; Romans 1:18-32",910,603,60179
KelseyR30329626,False,America,2019-11-12T17:39:56.000Z,"here to fight the idea of Antifa, the Myth of riots, reclaiming my time, come on man! 😂 find me on Parler @PatrioticMamma10 if I get the boot here too 🤷🏼‍♀️",4662,5100,22275
TopFeaturedcom,False,Press Release Distribution,2014-07-30T21:11:02.000Z,"Top Featured Businesses
News | Products | Services
https://t.co/fS1gC5xkSA",8430,8166,5270
SanctitySKR1111,False,Michigan ,2013-03-25T04:01:30.000Z,#GodsPlan Jesus has Returned & He is Among Us! #DigitalWarrior4Jesus #BewareFalseLight #TrumpIsProphecy #BornInHawaii #NativeNYer #GodWins #BoyMom #DogLover,2714,2921,21308
Qanon_Australia,False,Heaven,2019-12-28T07:56:50.000Z,"🇷🇸🇦🇺 What little time is left, make the most of it👊  #God #PeoplesTreaty #Jesus #Love #covid1984 #nomasks⏳#FlatEarth",1503,403,5516
RobAdam74497148,False,Toronto,2020-08-27T18:01:53.000Z,"Resident of the peoples republic of Canada. #NoMandatoryMasks.  Please follow, IFB. 
Independent minded conservative...",1974,3152,14283
tonebone721,False,"California, USA",2018-06-24T02:14:52.000Z,American 🇺🇸 by Birth 🔥🤘🏼MetalHead By Choice 🔥🤘🏼🇺🇸#MAGA2020 #KAG 🇺🇸 #Patriot #FuckBLM #FuckAntifa #AmericaFirst #NoSocialism #NoCommunism #Freedom,3199,3993,17206
doak_lyn,False,,2020-04-02T15:15:58.000Z,"God first, Bible prophecy in place, Patriot, Trump2020, Navy mom, God Bless America",1119,738,22513
OliviaP28146643,False,,2019-08-13T17:15:32.000Z,"💫✨💫FEAR IS A REACTION, ✨COURAGE IS A CHOICE💫✨💫",105,388,639
MyNameIsEarlB,False,Wisconsin,2008-12-07T03:09:31.000Z,"Viruses do not CAUSE disease!

You can find a wealth of info regarding this at my site.",1331,616,9716
Lis17m,False,USA ,2011-06-09T04:27:45.000Z,Wife of an Army Veteran - Mother - Patriot - Seeking Truth - Pro-Medical Freedom - Love My President- NO DM,5098,1895,3156
Seven77Ryn,False,Wisconsin,2018-07-15T16:25:11.000Z,"""The wicked will not rule the Land of the Godly""
(Psalm 125:3)#NoMasks #NoVAX
I Stand for Our REPUBLIC! #MAGA #PATRIOT 
I Stand for TRUTH, GOD and my FAMILY.",222,478,5313
QueenofStars13,False,Paradise Earth,2018-01-19T17:42:34.000Z,"🌟12th Dimensional Wisdom🌟Experiencing Earthlife🌟So happy to see love prevail 💓💓💓  🌟Shining my light for all the children 🌟 
Bless their hearts. 💓💓💓",2330,2259,55382
NovaXCulphy,False,Australia,2020-09-23T11:08:22.000Z,"Dual Universe alpha backer from Aus, space and tech enthusiast, proud farther, member of NovaX Org, creator of SubLight a building and ship design org.",62,131,148
IvanaMariaB,False,NoNeed,2015-10-17T03:22:08.000Z,Those attempting to rule the world are ipso facto MORONS,296,384,6477
EleutheriaAll,False,,2019-05-16T01:40:40.000Z,"Freedom Calls Me. Beauty Thrills Me. Caring Drives Me.
Medical Freedom, Information Freedom, Personal Freedom, Delicious Freedom. Love Big. Dream Big. Pray Big.",221,610,8115
TheHiddenJewell,False,Babylon,2019-05-18T17:55:36.000Z,"ℹ️ Officials have confirmed tweets from this account to be true.

Former LEO
Big Pharma Whistleblower
#SCOTUS Winner
#17 
  
 שמע ישראל יהוה אלוהינו יהוה אחד",17305,18000,38942
jtaylortowry,False,"Tulsa, Oklahoma",2009-04-18T06:23:19.000Z,"Mother & artist ... I work until collapse,.. all for a few kind words...C:  Adding Patriot to dance card. :)  #ThankYouTrump #MAGA",5521,6070,85698
luxCRUSADER,False,"Birchcliffe-Cliffside, Toronto",2020-05-18T18:39:37.000Z,BY THE #GRACEofGOD & ALOT OF #ADVERSITY➡️ #RETIRED❣️https://t.co/4DvjJd7A0c https://t.co/3O8Qw8K3lc,103,0,6117
othersideam,False,,2019-02-27T18:16:51.000Z,Other Side Asset Management is a boutique investment firm focused on implementing capital preservation strategies.,1998,194,9074
CALEBHITT,False,,2009-06-17T04:02:48.000Z,"Wake Up, Resist Daily, or Become a Slave!!!",486,731,12365
CaraMastrey,False,Here & there,2020-09-23T17:39:27.000Z,Singer/Vocal Coach/Producer #PatriotParty #CensoredPatriot,770,1795,11538
FlatplaneJayne,False,"Minnesota, USA",2019-02-07T12:23:48.000Z,"YAHUSHA (Jesus) TRUTH Disciple, Red Pill, Patriot, Trump, Q, FE, No Vax,GMO, Fluoride, Chemtrails or 5G; Life,1A, 2A, YAH’s Rts, RN, PHN, 25 Yr FA🙏💯📚🎺🇺🇸",6346,6977,115786
MRomaniec,False,"Massachusetts, USA",2009-05-21T19:54:17.000Z,"Special education advocate, author",500,839,6264
MariaRivera_OC,False,,2015-06-02T04:23:54.000Z,Patriotic homeschool mama & businesswoman. STOP Vaccine Violence! STOP #VaxxCult! #WalkAway #DemExit #TrumpDemocrat #VaxXed #WeDid #WeDoNotConsent #SB276 #SB277,334,334,7301
AnahataWhiteHat,False,,2019-03-03T08:03:56.000Z,US Navy Seabee Veteran 🇺🇸✝️🇺🇸American as Fuck and ready to defeat Sick Globalist Scum.,91,248,574
GinaGHarrison73,False,Tennessee,2012-11-10T17:28:59.000Z,I played Vaccine Roulette... and lost. Please research! #notgoingaway #vaxXed,677,991,3498
CrowRising,False,"Nonlocal, Ubiquitous",2008-11-19T19:35:31.000Z,"Multi-award-winning & Bestselling #Author, Pioneering #Artist ... Into #DNA #LucidDreams #Painting #Fiction #Ink #Art #Health #Energy #Satire #Humor #Shamanism",1304,940,4152
CnyInformed,False,,2020-10-27T14:53:18.000Z,"Inform, Protect, Educate and Protect Freedom!  Take Action! #Syracuse  #CNY  #NYRed  #JacksonForThePeople  #ParentalRights  #MedicalFreedom",155,414,784
AkAMasterPiece,False,,2012-07-17T17:41:47.000Z,,53,527,3253
TCollaborator,False,,2020-07-25T09:04:25.000Z,#ProWhite ! https://t.co/DvgjVZ7iYs Retweets do not = Endorsements,242,163,5120
Gwg1955,False,New Hampshire,2009-02-25T17:55:25.000Z,"But for the Grace of God...

Gone to Parler same name",118,82,7627
thedeliaanne,False,"Lockhart, TX",2017-07-01T03:55:27.000Z,"Weird Girl from Texas.
✌🌎💗🌱♓🎧",12,193,171
